timestamp,orien_x,orien_y,orien_z,orien_w,ang_v_x,ang_v_y,ang_v_z,lin_acc_x,lin_acc_y,lin_acc_z
5687551,-0.00544216546513,0.0700605233152,0.000382225890097,0.997527824079,0.00100012241802,-0.0637148443835,0.203488530507,-1.33712836208,-0.103360405011,9.47155495957
5687633,-0.0047999137094,0.0682873715819,0.000328544225482,0.997654092243,-0.0015283768565,-0.0693042811168,0.200420089613,-1.30386226505,-0.0912255032603,9.47941854825
5687717,-0.00354345593736,0.0673231160469,0.000239100471717,0.997724904368,-0.00432254660559,-0.0730836332183,0.196876264831,-1.28677564882,-0.067424570755,9.49131930644
5687799,-0.00260344658718,0.067740489776,0.000176765384654,0.997699562426,-0.0077018087009,-0.0732227941719,0.1943242799,-1.29519845204,-0.0495527087616,9.4939107782
5687879,-0.00146157468248,0.0670410002133,9.82064770365e-05,0.997749146051,-0.010580746081,-0.073306290744,0.193644469065,-1.28157736102,-0.0278162639288,9.49355029993
5687959,-0.00185081123994,0.0660934980317,0.000122594862132,0.997811710187,-0.013159488632,-0.0737820787487,0.193236582564,-1.25975775694,-0.0351251111405,9.46747663503
5688039,-0.00258225984383,0.0650322221318,0.000168286896087,0.997879809245,-0.0113012136709,-0.0740675515516,0.193843230786,-1.24139875085,-0.0490872261081,9.48367531818
5688119,-0.00312781684129,0.0641750187724,0.000201143319523,0.997933736913,-0.00678072820254,-0.0750902153562,0.195484289903,-1.22822856569,-0.0596192765828,9.50991451952
5688198,-0.00261229419866,0.0633235786848,0.000165753044573,0.997989615591,-0.00193998661421,-0.0778322639463,0.196894615435,-1.21434095045,-0.0498973557446,9.53044644365
5688281,-0.0018164274478,0.0624279635051,0.000113617669357,0.99804781301,-0.00116399196853,-0.0790518030389,0.19646374057,-1.19810751583,-0.0347268167671,9.53965313596
5688359,-0.00075534876369,0.0613617011822,4.6437004557e-05,0.998115308429,-0.00282684548843,-0.0751009358184,0.193225385221,-1.1718474636,-0.0143717455778,9.49465949632
5688439,0.000201495812701,0.060777107661,-1.2269013907e-05,0.998151342449,-0.00893283833791,-0.0688992049329,0.189153921704,-1.15848563392,0.00382680128611,9.47771895951
5688519,0.000246341486873,0.0604081409259,-1.49082577563e-05,0.998173730171,-0.0155762644778,-0.0643267862787,0.186285353532,-1.15429925877,0.00469028243182,9.50179172117
5688600,-0.000606579297214,0.0609019560482,3.70105733094e-05,0.998143568051,-0.0242449108379,-0.0594548847789,0.184564212629,-1.16399786215,-0.0115510405018,9.50306726903
