counter,timestamp
1,8635636
2,8635955
3,8636315
4,8636636
5,8636956
6,8637315
7,8637635
8,8638009
9,8638316
10,8638644
11,8638969
12,8639318
13,8639636
14,8639956
15,8640316
16,8640636
17,8640955
18,8641315
19,8641636
20,8641955
21,8642316
22,8642636
23,8642955
24,8643316
25,8643640
26,8643956
27,8644316
28,8644635
29,8644956
30,8645315
31,8645635
32,8645956
33,8646315
34,8646636
35,8646956
36,8647315
37,8647635
38,8647956
39,8648317
40,8648648
41,8648968
42,8649316
43,8649636
44,8650012
45,8650316
46,8650636
47,8650957
48,8651316
49,8651637
50,8651958
51,8652316
52,8652636
53,8652956
54,8653316
55,8653637
56,8653956
57,8654316
58,8654648
59,8654956
60,8655316
61,8655636
62,8655956
63,8656317
64,8656635
65,8656956
66,8657315
67,8657635
68,8657955
69,8658314
70,8658636
71,8658954
72,8659316
73,8659635
74,8659954
75,8660330
76,8660636
77,8660967
78,8661315
79,8661636
80,8661957
81,8662316
82,8662637
83,8662956
84,8663316
85,8663636
86,8663956
87,8664330
88,8664635
89,8664956
90,8665317
91,8665637
92,8665956
93,8666316
94,8666635
95,8666956
96,8667316
97,8667642
98,8667959
99,8668315
100,8668636
101,8668956
102,8669316
103,8669635
104,8669958
105,8670330
106,8670635
107,8670955
108,8671316
109,8671635
110,8671956
111,8672315
112,8672648
113,8672956
114,8673314
115,8673637
116,8673956
117,8674315
118,8674636
119,8674956
120,8675316
121,8675635
122,8675956
123,8676315
124,8676636
125,8676955
126,8677316
127,8677636
128,8677955
129,8678315
130,8678641
131,8678956
132,8679317
133,8679637
134,8679956
135,8680316
136,8680637
137,8680956
138,8681320
139,8681641
140,8681961
141,8682330
142,8682653
143,8682968
144,8683322
145,8683640
146,8683960
147,8684317
148,8684636
149,8684969
150,8685317
151,8685635
152,8685960
153,8686315
154,8686636
155,8686956
156,8687316
157,8687636
158,8687957
159,8688317
160,8688637
161,8688957
162,8689318
163,8689637
164,8689957
165,8690317
166,8690636
167,8690973
168,8691315
169,8691637
170,8691957
171,8692317
172,8692638
173,8692957
174,8693317
175,8693637
176,8693958
177,8694316
178,8694638
179,8694962
180,8695316
181,8695637
182,8695957
183,8696317
184,8696646
185,8696956
186,8697317
187,8697689
188,8697957
189,8698277
190,8698638
191,8698958
192,8699316
193,8699637
194,8699957
195,8700317
196,8700638
197,8700958
198,8701316
199,8701637
200,8701958
201,8702276
202,8702638
203,8702958
204,8703318
205,8703638
206,8703957
207,8704327
208,8704646
209,8704967
210,8705316
211,8705637
212,8705956
213,8706318
214,8706645
215,8706960
216,8707316
217,8707637
218,8707957
219,8708318
220,8708636
221,8708957
222,8709316
223,8709635
224,8709958
225,8710277
226,8710637
227,8710958
228,8711317
229,8711637
230,8711957
231,8712317
232,8712637
233,8712958
234,8713319
235,8713637
236,8713957
237,8714318
238,8714650
239,8714958
240,8715318
241,8715640
242,8715956
243,8716318
244,8716651
245,8716957
246,8717318
247,8717638
248,8717967
249,8718318
250,8718637
251,8718960
252,8719317
253,8719636
254,8719964
255,8720317
256,8720638
257,8720986
258,8721318
259,8721653
260,8721964
261,8722318
262,8722637
263,8722958
264,8723317
265,8723639
266,8723962
267,8724281
268,8724637
269,8724957
270,8725318
271,8725640
272,8725957
273,8726316
274,8726636
275,8726956
276,8727317
277,8727637
278,8727962
279,8728276
280,8728637
281,8728957
282,8729316
283,8729637
284,8729957
285,8730278
286,8730637
287,8730956
288,8731317
289,8731637
290,8731957
291,8732275
292,8732636
293,8732958
294,8733315
295,8733637
296,8733960
297,8734277
298,8734636
299,8734956
300,8735318
301,8735639
302,8735958
303,8736280
304,8736637
305,8736957
306,8737323
307,8737638
308,8737960
309,8738278
310,8738638
311,8738957
312,8739316
313,8739637
314,8739958
315,8740279
316,8740638
317,8740961
318,8741317
319,8741641
320,8741958
321,8742280
322,8742638
323,8742958
324,8743322
325,8743638
326,8743958
327,8744277
328,8744637
329,8744957
330,8745318
331,8745638
332,8745958
333,8746288
334,8746650
335,8746973
336,8747318
337,8747638
338,8747962
339,8748282
340,8748637
341,8748968
342,8749319
343,8749638
344,8749957
345,8750279
346,8750653
347,8750957
348,8751317
349,8751636
350,8751960
351,8752277
352,8752638
353,8752958
354,8753317
355,8753639
356,8753957
357,8754277
358,8754654
359,8754971
360,8755318
361,8755642
362,8755958
363,8756287
364,8756638
365,8756971
366,8757318
