timestamp,compass
8636328,158.54
8637345,158.34
8638371,158.10
8639398,157.95
8640425,157.89
8641453,157.76
8642478,157.54
8643505,157.49
8644531,157.49
8645557,158.18
8646584,158.70
8647614,158.83
8648642,158.99
8649665,159.17
8650692,159.09
8651717,159.07
8652744,159.28
8653785,159.25
8654798,159.17
8655825,159.01
8656852,159.17
8657877,158.73
8658904,158.10
8659933,157.46
8660962,157.09
8661984,157.71
8663010,158.54
8664037,159.02
8665063,158.99
8666092,159.01
8667116,158.90
8668144,159.08
8669170,159.08
8670195,159.56
8671222,159.79
8672252,160.22
8673277,160.29
8674303,160.14
8675334,160.06
8676356,159.96
8677382,159.96
8678411,160.04
8679434,160.04
8680461,160.04
8681491,159.86
8682513,159.94
8683542,160.04
8684571,160.04
8685595,160.04
8686621,160.06
8687655,157.93
8688673,159.01
8689699,159.19
8690731,159.01
8691752,159.11
8692779,159.09
8693807,159.19
8694834,159.19
8695859,159.19
8696891,159.29
8697912,159.09
8698939,159.29
8699970,159.19
8700993,159.09
8702020,159.09
8703052,159.09
8704071,159.29
8705099,159.19
8706125,159.19
8707152,159.11
8708178,159.19
8709214,159.19
8710232,159.19
8711259,159.19
8712285,159.19
8713320,159.19
8714339,159.11
8715369,159.19
8716390,159.21
8717417,159.56
8718444,159.59
8719471,159.69
8720497,159.58
8721524,159.51
8722551,159.49
8723577,159.41
8724603,159.39
8725630,159.49
8726658,159.56
8727683,159.49
8728709,159.39
8729737,159.39
8730763,159.49
8731789,159.51
8732815,159.51
8733842,159.49
8734870,159.41
8735897,159.49
8736923,159.51
8737950,159.49
8738981,159.51
8740002,159.66
8741027,159.41
8742054,159.32
8743082,159.41
8744109,159.39
8745135,159.49
8746186,159.41
8747188,159.83
8748226,159.98
8749242,159.94
8750267,159.77
8751294,159.77
8752331,159.86
8753353,159.84
8754377,159.69
8755399,159.84
8756435,159.86
8757460,159.84
8758480,159.77
8759505,159.86
8760535,159.69
8761560,159.77
8762592,161.72
8763613,159.26
8764649,158.54
8765667,159.92
8766694,162.03
8767719,163.11
8768747,163.20
8769777,161.13
8770812,158.75
8771825,161.39
8772853,164.95
8773878,164.11
8774912,163.82
8775932,161.71
8776975,162.48
8777989,161.39
8779015,165.15
8780039,166.80
