timestamp,orien_x,orien_y,orien_z,ang_v_x,ang_v_y,ang_v_z,lin_acc_x,lin_acc_y,lin_acc_z
7800450,-0.00397364858272,-0.018030606064,-7.16595075564e-05,-0.00170276024585,-0.00383121055316,0.0,0.139103116455,-0.03064578125,3.85538293335
7800527,-0.00461279317087,-0.0183554871917,-8.46852348288e-05,-0.00272441639336,-0.00612993688505,0.0,0.22663512915,-0.0569341154785,6.17004921436
7800608,-0.0047924467681,-0.0190869121529,-9.14907287211e-05,-0.00376310014332,-0.00750917268419,0.0,0.287773462744,-0.0722282756836,7.53394928569
7800688,-0.0040668101352,-0.020227310828,-8.22781470321e-05,-0.0043863103933,-0.00833671416367,0.0,0.338342832529,-0.0679972425098,8.35803541248
7800766,-0.00246573815842,-0.0237364890696,-5.85446399292e-05,-0.00646299678914,-0.00713047880551,0.0,0.420638630426,-0.043671387498,8.85296592888
7800847,-0.00186934289094,-0.0264645434187,-4.94887259565e-05,-0.0102631489954,-0.002149836976,0.0,0.486536100619,-0.0343431181434,9.18248538131
7800926,-0.00214527508601,-0.0271849592118,-5.83409117019e-05,-0.0129689303806,0.00381837855195,0.0,0.510272851777,-0.0402383244993,9.37469038894
7801007,-0.0033264259193,-0.0250582507962,-8.33810589456e-05,-0.0137410190889,0.0125075886063,0.0,0.476152028938,-0.0631684817601,9.49168933468
7801087,-0.00396315860563,-0.0218068147523,-8.64451012883e-05,-0.0137785822523,0.0194238748847,0.0,0.416893468339,-0.0757294752865,9.55159363499
7801167,-0.00415734291794,-0.0177682554857,-7.3881033319e-05,-0.0133754300889,0.0244250267747,0.0,0.340636903757,-0.0796747689122,9.58059303036
7801246,-0.00459658901971,-0.0133712901145,-6.1468470132e-05,-0.0131335387909,0.0235945073555,0.0,0.256815158612,-0.0882668694039,9.60014744907
7801327,-0.00576812497313,-0.0105782385458,-6.10210314255e-05,-0.0134140940735,0.0205420553352,0.0,0.203409649366,-0.110899801818,9.61211952047
7801406,-0.0057275722921,-0.00860752784603,-4.93028732308e-05,-0.0131567371817,0.0123252332011,0.0,0.165859680001,-0.110353771472,9.6327102926
7801486,-0.00616502070204,-0.00810228399415,-4.99533376309e-05,-0.0125766329851,0.00739513992068,0.0,0.156258387346,-0.118884699406,9.64099461306
7801567,-0.00678667052627,-0.0103238329343,-7.00698008116e-05,-0.0101001201598,-0.00279964709244,0.0,0.198860485289,-0.130707020816,9.62848753322
7801646,-0.00652156518891,-0.0123226394077,-8.03707079948e-05,-0.0081885224032,-0.0114706596691,0.0,0.237350433019,-0.125589985195,9.62744762979
7801727,-0.00591777458942,-0.0153362263786,-9.07685957038e-05,-0.00491311344192,-0.0179503373995,0.00255414036877,0.295878586227,-0.114140058011,9.64214657836
