timestamp,compass
5875733,171.07
5876667,170.74
5877693,170.56
5878718,170.13
5879745,169.96
5880775,169.52
5881798,169.08
5882824,168.91
5883852,168.74
5884879,168.93
5885905,169.28
5886944,169.80
5887961,170.16
5888983,170.17
5890011,170.44
5891038,170.62
5892065,170.80
5893096,170.72
5894117,170.80
5895144,170.72
5896171,170.71
5897197,170.52
5898222,169.89
5899255,169.26
5900284,168.82
5901304,169.26
5902330,169.59
5903355,169.81
5904383,170.24
5905416,170.59
5906437,171.00
5907463,170.81
5908491,171.08
5909517,171.52
5910544,172.27
5911576,172.47
5912598,172.43
5913632,172.45
5914651,172.43
5915676,172.27
5916702,172.27
5917735,172.33
5918757,172.25
5919783,172.25
5920810,172.25
5921836,172.33
5922862,172.25
5923888,172.35
5924915,172.16
5925943,172.25
5926970,171.81
5927995,171.64
5929021,171.03
5930052,171.03
5931074,170.93
5932101,171.11
5933127,171.01
5934155,171.11
5935182,171.13
5936212,171.01
5937234,171.11
5938269,171.11
5939287,171.11
5940313,171.21
5941340,171.21
5942368,171.21
5943393,171.11
5944420,171.28
5945446,171.03
5946474,171.21
5947502,171.21
5948532,171.20
5949554,171.21
5950582,171.03
5951608,171.20
5952641,171.21
5953659,171.20
5954697,171.01
5955715,170.93
5956740,171.03
5957767,171.58
5958794,171.36
5959819,170.94
5960847,171.11
5961873,171.19
5962899,171.37
5963927,171.37
5964955,171.35
5965979,171.19
5967015,171.37
5968033,171.27
5969059,171.27
5970087,171.26
5971113,171.27
5972139,171.35
5973175,171.18
5974193,171.19
5975219,171.27
5976246,171.18
5977275,171.10
5978298,171.35
5979334,171.37
5980351,171.19
5981378,171.01
5982404,171.19
5983430,171.18
5984458,171.27
5985497,171.27
5986512,171.27
5987539,171.81
5988575,171.32
5989591,172.17
5990620,172.51
5991656,172.27
5992696,172.00
5993805,171.92
5994729,171.92
5995755,172.10
5996777,172.02
5997815,171.98
5998832,171.84
5999857,171.90
6000883,171.84
6001910,174.44
6002946,170.38
6003993,165.85
6004993,171.28
6006017,174.44
6007044,173.02
6008069,170.39
6009114,171.51
6010141,168.80
6011150,168.38
6012176,172.30
6013203,175.82
6014230,176.09
6015256,170.17
6016285,169.62
6017309,169.03
6018338,174.52
6019361,177.57
6020390,178.42
6021417,172.98
6022442,171.00
6023496,171.24
6024495,177.86
6025522,181.29
6026547,178.17
6027579,177.42
6028601,176.87
6029638,173.47
6030664,173.65
6031682,176.81
6032706,178.06
6033743,176.23
6034765,176.74
6035788,170.37
6036815,173.72
6037841,177.45
6038867,178.71
6039897,175.80
6040933,175.15
6041953,170.21
6042975,173.72
6044000,172.61
6045033,173.28
6046058,174.84
6047095,177.47
6048109,178.00
6049134,174.24
6050167,172.90
6051187,174.30
6052216,175.30
6053240,177.40
6054282,176.20
6055298,173.63
6056328,173.52
6057348,175.30
6058385,176.31
6059400,177.83
6060426,180.97
6061454,177.97
6062481,174.56
6063508,172.65
6064535,171.89
6065560,175.78
6066588,180.27
6067613,175.50
6068658,172.04
6069667,170.23
6070697,171.02
6071732,175.19
6072745,178.76
6073772,172.94
6074800,170.09
6075826,169.12
6076857,168.92
6077878,169.73
6078906,175.60
6079933,178.20
6080981,175.57
6081988,169.50
6083018,167.01
6084039,169.84
6085066,175.63
6086094,177.04
6087118,173.17
6088145,168.17
6089179,166.91
6090199,170.96
6091226,176.62
6092252,177.27
6093280,172.75
6094304,171.78
6095332,171.00
6096359,167.46
6097385,172.37
6098411,175.09
6099443,176.35
6100464,171.19
6101497,170.08
6102516,168.13
6103544,173.38
6104571,177.18
6105668,177.60
6106636,171.76
6107651,170.25
6108717,168.78
6109730,175.10
6110732,171.82
6111758,174.16
6112784,174.87
6113815,176.39
6114836,172.86
6115863,172.44
6116894,173.62
6117918,175.38
6118979,175.00
6119974,176.07
6120999,171.73
6122022,172.86
6123051,174.81
6124077,176.60
6125112,175.59
6126131,176.04
6127172,171.07
6128182,174.22
6129210,171.05
6130235,171.44
6131274,174.22
6132292,177.76
6133316,179.99
6134343,175.04
6135381,171.99
6136396,172.94
6137423,175.36
6138450,178.59
6139476,179.87
6140501,174.52
6141538,172.64
6142556,174.20
6143583,176.84
6144620,177.65
6145658,181.60
6146669,180.71
6147690,176.09
6148715,171.04
6149742,169.49
6150779,173.18
6151796,178.46
6152822,175.72
6153850,172.06
6154876,166.82
6155901,167.59
6156936,172.17
6157965,176.56
6158982,173.18
6160008,168.50
6161035,167.02
6162061,168.59
6163088,167.72
6164114,173.20
6165142,175.13
6166168,173.68
6167194,167.12
6168225,165.74
6169259,166.52
6170279,172.67
6171300,175.70
6172330,172.94
6173355,166.82
6174380,165.84
6175407,167.74
6176433,174.23
6177460,175.54
6178489,171.99
6179515,169.89
6180540,170.13
6181575,164.91
6182618,169.41
6183620,173.01
6184652,173.83
6185673,170.79
6186711,171.16
6187736,165.57
6188753,171.73
6189780,174.51
6190806,174.93
6191833,172.20
6192861,171.80
6193896,167.47
6194913,173.53
6195939,171.67
6196970,172.77
6197991,174.62
6199018,177.50
6200045,173.72
6201074,170.04
6202111,172.12
6203127,174.44
6204152,175.69
6205179,178.23
6206205,174.89
6207233,174.23
6208270,175.90
6209289,176.95
6210311,177.36
6211337,179.67
6212365,175.98
6213391,177.30
6214434,173.96
6215444,173.25
6216472,174.62
6217497,178.90
6218535,182.71
6219551,177.68
6220595,174.27
6221605,175.14
6222639,175.63
6223658,179.01
6224684,183.01
6225711,176.60
6226758,174.39
6227765,175.24
6228791,177.04
6229819,177.79
6230859,183.88
6231872,185.80
6232897,182.07
6233925,177.14
6234972,175.41
6235985,178.72
6237006,185.43
6238030,186.35
6239056,182.49
6240101,177.54
6241181,176.57
6242138,180.55
6243165,186.32
6244191,185.50
6245216,181.28
6246243,178.51
6247272,180.48
6248301,177.15
6249322,184.65
6250350,184.27
6251376,184.14
6252403,180.75
6253432,179.45
6254456,176.99
6255483,183.19
6256510,186.31
6257536,185.33
6258564,179.80
6259590,179.32
6260624,180.46
6261670,188.12
6262669,187.72
6263697,182.82
6264724,182.60
6265751,184.65
6266777,178.98
6267815,180.27
6268829,180.60
6269855,181.17
6270882,180.77
6271910,185.56
6272937,180.78
6273968,182.41
6274988,183.78
6276015,184.58
6277043,184.00
6278072,186.84
6279097,181.54
6280129,185.38
6281149,184.71
6282177,184.95
6283204,184.03
6284236,185.25
6285256,182.55
6286292,177.48
6287312,180.11
6288336,184.89
6289363,189.61
6290390,184.48
6291417,182.06
6292441,182.01
6293469,184.32
6294497,184.70
6295524,187.66
6296552,185.31
6297577,185.78
6298617,178.53
6299638,177.66
6300657,180.75
6301683,187.30
6302713,188.01
6303749,181.57
6304762,175.48
6305795,175.53
6306831,178.77
6307842,183.55
6308870,185.19
6309898,177.33
6310923,169.54
6311959,168.92
6312983,172.62
6314005,177.94
6315029,179.08
6316060,177.09
6317094,169.03
6318108,162.72
6319135,162.17
6320161,173.19
6321186,180.16
6322220,177.52
6323254,167.68
6324278,163.62
6325303,164.23
6326326,174.45
6327347,180.09
6328374,176.27
6329404,164.29
6330431,160.05
6331454,164.67
6332480,165.69
6333506,169.34
6334535,168.28
6335560,163.71
6336587,157.81
6337627,155.51
6338643,159.31
6339668,161.93
6340697,163.24
6341720,162.35
6342749,157.56
6343773,154.95
6344801,156.46
6345827,162.53
6346856,159.92
6347879,152.76
6348905,148.76
6349932,148.67
6350962,144.96
6351984,147.67
6353022,143.35
6354039,142.09
6355067,140.95
6356092,142.27
6357119,141.83
6358145,144.61
6359193,143.92
6360228,143.03
6361225,141.71
6362252,141.01
6363287,141.01
6364306,146.48
6365341,145.28
6366361,135.73
6367386,140.72
6368412,152.24
6369438,153.25
6370464,148.35
6371494,141.14
6372518,142.03
6373544,145.34
6374571,157.77
6375617,157.83
6376624,153.55
6377663,149.82
6378677,151.18
6379704,153.16
6380730,162.83
6381758,160.11
6382783,157.04
6383817,151.05
6384836,149.33
6385863,153.32
6386889,164.15
6387918,168.28
6388945,164.36
6389981,156.25
6391004,154.85
6392023,159.00
6393050,171.66
6394075,176.39
6395101,172.22
6396133,164.08
6397160,166.30
6398182,169.11
6399208,181.79
6400235,186.09
6401262,187.08
6402308,180.28
6403318,175.46
6404342,178.92
6405368,186.47
6406395,192.30
6407431,192.54
6408457,184.37
6409477,182.41
6410503,186.57
6411528,194.55
6412555,200.74
6413581,199.14
6414615,190.09
6415638,188.67
6416665,188.25
6417688,189.60
6418734,194.89
6419741,192.45
6420774,192.40
6421796,189.35
6422821,184.89
6423848,184.78
6424875,189.62
6425902,189.25
6426934,187.76
6427993,184.30
6428982,180.51
6430012,181.91
6431036,187.63
6432063,187.82
6433090,185.58
6434120,181.38
6435143,186.13
6436180,183.15
6437198,181.12
6438221,178.68
6439251,179.83
6440305,181.95
6441306,183.25
6442328,179.94
6443354,178.95
6444382,176.22
6445425,176.95
6446440,178.27
6447462,178.18
6448488,174.90
6449514,175.49
6450542,172.65
6451569,166.02
6452619,170.97
6453621,176.07
6454649,175.95
6455675,169.50
6456700,161.75
6457740,161.16
6458755,165.75
6459782,170.42
6460807,170.55
6461838,164.30
6462860,156.64
6463901,157.32
6464913,162.00
6465938,165.41
6466971,164.30
6467994,158.84
6469019,156.07
6470056,149.95
6471073,153.39
6472099,160.18
6473126,164.05
6474152,162.46
6475178,152.85
6476205,147.11
6477233,151.54
6478259,162.53
6479288,166.60
6480315,162.81
6481339,151.43
6482376,147.44
6483393,151.42
6484418,166.07
6485446,170.09
6486471,171.36
6487499,163.69
6488524,152.26
6489553,152.50
6490576,160.36
6491611,167.55
6492635,170.43
6493659,164.72
6494697,157.18
6495710,156.14
6496737,165.80
6497763,172.41
6498789,174.00
6499817,166.25
6500843,158.41
6501870,158.58
6502897,166.34
6503924,170.54
6504960,171.36
6505980,169.44
6507003,168.33
6508029,170.45
6509057,170.15
6510082,176.30
6511229,177.59
6512138,174.03
6513163,170.10
6514190,170.92
6515215,171.66
6516242,178.65
6517272,180.34
6518300,177.29
6519332,172.28
6520348,181.74
6521375,179.67
6522403,176.69
6523429,174.75
6524460,175.08
6525483,176.23
6526507,184.20
6527534,181.63
6528562,180.49
6529596,179.98
6530621,180.69
6531650,183.21
6532708,191.36
6533694,189.08
6534722,188.79
6535752,189.97
6536777,183.20
6537814,184.59
6538829,195.76
6539855,200.04
6540883,194.64
6541909,186.81
6542938,188.89
6543970,190.45
6544998,200.52
6546017,202.67
6547042,196.49
6548068,190.99
6549102,194.06
6550133,195.54
6551149,204.35
6552175,205.43
6553202,200.55
6554227,201.78
6555257,197.54
6556311,198.95
6557310,207.65
6558338,213.01
6559362,213.20
6560390,206.13
6561428,203.48
6562444,204.80
6563470,213.07
6564495,218.59
6565523,217.43
6566550,209.51
6567578,208.90
6568665,209.28
6569629,218.14
6570656,218.43
6571685,216.61
6572710,214.11
6573741,209.53
6574782,206.21
6575788,208.29
6576817,214.65
6577842,213.15
6578869,211.87
6579896,207.63
6580921,203.00
6581951,205.70
6582979,210.81
6584005,209.63
6585030,206.64
6586056,200.94
6587084,196.36
6588114,198.96
6589137,197.45
6590163,194.58
6591192,194.29
6592218,195.87
6593244,196.69
6594270,193.16
6595297,195.31
6596324,194.77
6597351,193.36
6598377,193.87
6599404,194.96
6600434,191.80
6601456,194.61
6602484,194.38
6603509,194.29
6604537,226.11
6605563,198.97
6606589,198.32
6607618,192.93
6608644,187.54
6609670,189.84
6610698,192.58
6611722,199.87
6612762,197.74
6613780,192.74
6614803,188.57
6615829,189.62
6616859,190.82
6617883,196.88
6618912,194.75
6619937,190.78
6620971,186.62
6622005,185.26
6623016,186.65
6624042,194.97
6625071,196.94
6626101,189.20
6627123,178.04
6628175,174.85
6629177,176.80
6630204,186.62
6631249,189.40
6632258,182.00
6633295,172.46
6634324,173.97
6635336,176.17
6636362,179.84
6637389,180.85
6638423,180.38
6639444,175.42
6640470,171.07
6641496,168.07
6642523,170.38
6643549,174.07
6644576,173.41
6645610,167.95
6646630,162.10
6647659,159.67
6648682,165.04
6649708,167.84
6650735,167.50
6651762,160.69
6652789,155.49
6653815,155.32
6654855,161.51
6655868,162.52
6656895,165.31
6657921,164.20
6658947,164.40
6660014,166.52
6661002,162.92
6662027,169.19
6663056,172.45
6664081,171.92
6665107,170.51
6666134,171.48
6667160,171.23
6668186,175.55
6669215,175.56
6670241,174.67
6671268,174.57
6672301,174.57
6673337,174.77
6674346,174.49
6675377,174.49
6676401,174.42
6677440,174.60
6678470,174.60
6679498,174.57
6680515,174.60
6681542,174.60
6682566,174.75
6683586,174.57
6684630,174.67
6685652,174.67
6686666,174.67
6687692,174.49
6688718,174.67
6689751,174.60
6690775,174.49
6691805,174.77
6692826,174.67
6693853,174.49
6694885,174.60
6695909,174.67
6696938,174.57
6697969,174.67
6698986,174.60
6700011,174.57
6701039,174.60
