timestamp,compass
9029311,176.61
9030339,176.74
9031359,176.35
9032403,176.38
9033412,176.23
9034439,176.34
9035465,176.08
9036496,176.73
9037518,177.23
9038549,177.83
9039572,178.18
9040598,178.35
9041624,178.07
9042663,178.25
9043680,178.18
9044705,178.21
9045735,178.14
9046758,178.25
9047783,177.97
9048812,177.51
9049842,176.56
9050865,176.08
9051893,176.34
9052917,176.99
9053952,177.76
9054976,178.14
9055999,177.89
9057031,178.33
9058054,178.64
9059080,179.31
9060115,179.47
9061133,179.91
9062158,179.97
9063186,179.87
9064211,179.93
9065237,179.77
9066263,179.93
9067293,180.04
9068319,179.70
9069356,179.97
9070371,179.87
9071396,179.93
9072422,179.93
9073466,179.91
9074482,179.77
9075503,179.81
9076529,179.91
9077580,179.91
9078585,179.81
9079613,179.81
9080638,178.34
9081674,179.39
9082692,178.42
9083717,178.46
9084744,178.39
9085782,178.56
9086798,178.70
9087824,178.63
9088851,178.80
9089880,178.74
9090905,178.59
9091940,178.70
9092958,178.70
9093984,178.70
9095011,178.63
9096040,178.70
9097079,178.63
9098091,178.80
9099116,178.67
9100143,178.63
9101170,178.77
9102201,178.56
9103225,178.74
9104252,178.74
9105276,178.74
9106306,178.63
9107332,178.74
9108362,178.80
9109398,178.56
9110430,178.66
9111436,178.95
9112462,178.80
9113491,177.47
9114579,178.68
9115543,178.28
9116578,178.19
9117596,178.06
9118622,178.16
9119649,178.22
9120695,178.38
9121703,178.22
9122731,178.32
9123756,178.25
9124782,178.25
9125811,178.32
9126838,178.28
9127863,178.48
9128899,178.22
9129916,178.32
9130942,178.32
9131971,178.38
9132996,178.41
9134029,178.38
9135050,178.48
9136075,178.28
9137111,178.32
9138129,178.32
9139155,178.45
9140182,178.38
9141229,179.50
9142235,174.65
9143265,178.50
9144290,180.35
9145315,180.39
9146352,179.74
9147370,179.31
9148399,179.14
9149422,179.14
9150452,179.41
9151500,179.31
9152502,179.41
9153617,179.24
9154556,179.41
9155597,179.47
9156622,179.41
9157674,179.54
9158673,179.47
9159712,179.54
9160739,179.47
9161863,179.51
9162769,179.31
9163795,179.47
9164824,179.41
9165858,179.41
9166881,179.51
9167902,179.24
9168935,179.37
9169987,179.41
9170984,179.51
9172009,179.51
9173040,179.41
9174064,179.41
9175089,179.58
9176114,179.41
9177144,179.54
9178182,179.47
9179196,179.41
9180221,179.47
9181250,179.37
9182297,179.31
9183306,179.41
9184329,179.24
9185365,179.47
9186387,179.58
9187460,179.47
9188435,179.41
9189466,179.41
9190491,179.58
9191533,179.41
9192586,179.41
9193571,179.41
9194596,179.41
9195630,179.34
9196662,179.58
9197701,179.41
9198703,179.47
9199731,179.47
9200763,179.31
9201784,179.47
9202821,179.31
9203837,179.41
9204868,179.47
9205892,179.47
9206915,179.37
9207941,179.41
9208969,179.41
9209995,179.51
9211023,179.41
9212051,179.41
9213074,179.47
9214104,179.41
9215130,179.41
9216156,179.31
9217182,179.37
9218208,179.41
9219234,179.58
9220272,179.37
9221297,180.28
9222314,175.93
9223354,177.01
9224368,184.16
9225398,183.97
9226427,176.05
9227459,170.44
9228477,174.47
9229506,173.35
9230533,180.41
9231557,184.43
9232581,182.35
9233621,177.03
9234634,172.92
9235671,173.62
9236689,181.03
9237716,186.27
9238742,181.94
9239771,176.36
9240806,172.23
9241831,174.67
9242849,180.62
9243875,185.32
9244907,180.43
9245928,181.41
9246957,177.47
9247987,172.92
9249009,173.68
9250041,181.58
9251063,182.96
9252088,180.68
9253144,175.89
9254147,171.11
9255169,172.56
9256194,179.76
9257223,183.20
9258251,181.31
9259275,174.44
9260301,172.17
9261328,174.57
9262354,176.34
9263382,180.26
9264408,182.08
9265435,181.28
9266482,179.87
9267496,174.60
9268520,176.23
9269561,181.02
9270577,182.42
9271597,180.26
9272622,179.79
9273649,171.29
9274681,177.22
9275704,181.54
9276735,182.89
9277758,178.85
9278825,177.47
9279808,182.22
9280844,176.49
9281862,173.83
9282890,176.39
9283916,178.66
9284946,182.32
9285974,181.04
9286997,175.80
9288034,174.89
9289055,177.56
9290073,179.32
9291101,182.27
9292129,179.01
9293154,174.96
9294180,176.33
9295207,178.99
9296235,180.31
9297266,180.66
9298287,185.90
9299314,180.55
9300354,174.84
9301372,172.96
9302397,174.70
9303421,186.97
9304463,186.04
9305475,183.29
9306505,182.90
9307549,183.41
9308556,183.75
9309591,184.04
9310608,184.10
9311633,184.15
9312664,184.04
